,pitch_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,delta_home_win_exp,delta_run_exp,batter_is_right,pitcher_is_right,inning_top,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_Strategic
0,CU,0,2,0.0,1.0,1.0,2,6,47,3,0,1,0,1,-0.077,-0.311,1,0,0,True,False,False
1,FF,0,1,0.0,1.0,1.0,2,6,47,2,0,1,0,1,0.0,-0.098,1,0,0,True,False,False
2,FF,0,0,0.0,1.0,1.0,2,6,47,1,0,1,0,1,0.0,-0.063,1,0,0,True,False,False
3,CH,1,0,0.0,0.0,1.0,2,6,46,2,0,1,0,1,0.035,0.284,1,0,0,True,False,False
4,CU,0,0,0.0,0.0,1.0,2,6,46,1,0,1,0,1,0.0,0.025,1,0,0,True,False,False
5,CU,3,2,0.0,0.0,0.0,2,6,45,6,0,1,0,1,0.023,0.11,1,0,0,True,False,False
6,FF,2,2,0.0,0.0,0.0,2,6,45,5,0,1,0,1,0.0,0.04,1,0,0,True,False,False
7,CH,2,1,0.0,0.0,0.0,2,6,45,4,0,1,0,1,0.0,-0.031,1,0,0,True,False,False
8,CH,2,0,0.0,0.0,0.0,2,6,45,3,0,1,0,1,0.0,-0.023,1,0,0,True,False,False
9,FF,1,0,0.0,0.0,0.0,2,6,45,2,0,1,0,1,0.0,0.022,1,0,0,True,False,False
10,FF,0,0,0.0,0.0,0.0,2,6,45,1,0,1,0,1,0.0,0.016,1,0,0,True,False,False
11,CH,2,1,0.0,0.0,0.0,1,6,44,4,0,1,0,1,-0.028,-0.196,1,0,0,True,False,False
12,FF,1,1,0.0,0.0,0.0,1,6,44,3,0,1,0,1,0.0,0.034,1,0,0,True,False,False
13,FF,0,1,0.0,0.0,0.0,1,6,44,2,0,1,0,1,0.0,0.019,1,0,0,True,False,False
14,FF,0,0,0.0,0.0,0.0,1,6,44,1,0,1,0,1,0.0,-0.026,1,0,0,True,False,False
15,CH,0,2,0.0,0.0,0.0,0,6,43,3,0,1,0,1,-0.04,-0.152,1,0,0,True,False,False
16,CU,0,1,0.0,0.0,0.0,0,6,43,2,0,1,0,1,0.0,-0.049,1,0,0,True,False,False
17,CU,0,0,0.0,0.0,0.0,0,6,43,1,0,1,0,1,0.0,-0.038,1,0,0,True,False,False
18,FF,1,2,0.0,0.0,1.0,2,5,39,5,0,1,0,1,-0.036,-0.174,1,0,0,True,False,False
19,FF,1,2,0.0,0.0,1.0,2,5,39,4,0,1,0,1,0.0,0.0,1,0,0,True,False,False
20,CU,0,2,0.0,0.0,1.0,2,5,39,3,0,1,0,1,0.0,0.017,1,0,0,True,False,False
21,FF,0,1,0.0,0.0,1.0,2,5,39,2,0,1,0,1,0.0,-0.046,1,0,0,True,False,False
22,SL,0,0,0.0,0.0,1.0,2,5,39,1,0,1,0,1,0.0,-0.038,1,0,0,True,False,False
23,FF,1,2,0.0,0.0,0.0,2,5,38,5,0,1,0,1,0.02,0.166,1,0,0,True,False,False
24,FF,1,2,0.0,0.0,0.0,2,5,38,4,0,1,0,1,0.0,0.0,1,0,0,True,False,False
25,CH,1,1,0.0,0.0,0.0,2,5,38,3,0,1,0,1,0.0,-0.027,1,0,0,True,False,False
26,SL,0,1,0.0,0.0,0.0,2,5,38,2,0,1,0,1,0.0,0.012,1,0,0,True,False,False
27,FF,0,0,0.0,0.0,0.0,2,5,38,1,0,1,0,1,0.0,-0.017,1,0,0,True,False,False
28,CH,2,2,0.0,0.0,0.0,1,5,37,5,0,1,0,1,-0.024,-0.148,1,0,0,True,False,False
29,CU,1,2,0.0,0.0,0.0,1,5,37,4,0,1,0,1,0.0,0.029,1,0,0,True,False,False
30,CU,0,2,0.0,0.0,0.0,1,5,37,3,0,1,0,1,0.0,0.012,1,0,0,True,False,False
31,CH,0,1,0.0,0.0,0.0,1,5,37,2,0,1,0,1,0.0,-0.036,1,0,0,True,False,False
32,CU,0,0,0.0,0.0,0.0,1,5,37,1,0,1,0,1,0.0,-0.026,1,0,0,True,False,False
33,CU,0,2,0.0,0.0,0.0,0,5,36,3,0,1,0,1,-0.034,-0.152,1,0,0,True,False,False
34,CH,0,1,0.0,0.0,0.0,0,5,36,2,0,1,0,1,0.0,-0.049,1,0,0,True,False,False
35,CH,0,0,0.0,0.0,0.0,0,5,36,1,0,1,0,1,0.0,-0.038,1,0,0,True,False,False
36,FF,3,2,0.0,0.0,1.0,2,4,31,6,0,1,0,1,-0.031,-0.256,1,0,0,True,False,False
37,CH,3,1,0.0,0.0,1.0,2,4,31,5,0,1,0,1,0.0,-0.079,1,0,0,True,False,False
38,CU,2,1,0.0,0.0,1.0,2,4,31,4,0,1,0,1,0.0,0.081,1,0,0,True,False,False
39,SL,1,1,0.0,0.0,1.0,2,4,31,3,0,1,0,1,0.0,0.031,1,0,0,True,False,False
