balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitch_type_map,batter_is_right,pitcher_is_right,inning_top,prop_CU,prop_CH,prop_FF,prop_FC,prop_SI
2,2,2,6,58,5,4,8,4,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,2,2,6,58,4,4,8,4,3,2,1,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,2,2,6,58,3,4,8,4,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,1,2,6,58,2,4,8,4,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,2,6,58,1,4,8,4,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
3,1,2,6,57,5,4,8,4,3,2,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,1,2,6,57,4,4,8,4,3,2,5,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,1,2,6,57,3,4,8,4,3,2,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,0,2,6,57,2,4,8,4,3,2,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,2,6,57,1,4,8,4,3,2,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,2,1,6,56,7,4,8,4,3,2,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,2,1,6,56,6,4,8,4,3,2,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,2,1,6,56,5,4,8,4,3,2,0,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,2,1,6,56,4,4,8,4,3,2,0,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,1,1,6,56,3,4,8,4,3,2,5,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,0,1,6,56,2,4,8,4,3,2,5,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,1,6,56,1,4,8,4,3,2,5,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,2,0,6,55,4,4,8,4,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,2,0,6,55,3,4,8,4,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,1,0,6,55,2,4,8,4,3,2,0,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,0,6,55,1,4,8,4,3,2,5,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,1,2,5,47,3,3,5,3,3,2,5,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
